,bursts_count,avg_time,max_time,min_time,std_time,avg_sample_value,max_sample_value,min_sample_value,std_sample_value,area,total_power,median_freq,f_max
66,7,1.1890600535380578,1.844093136016971,0.9100459619172696,0.2980610711294083,513.139797979798,645,414,14.478460210264002,10159653.5,232.86343372208628,70.3125,50.78125
67,9,0.844591882088118,1.007043313690911,0.6020258935868199,0.11700371342754709,513.175870967742,600,414,10.75712689709129,11930822.5,119.42146365239803,70.3125,50.78125
68,5,1.4960660514813011,2.844125568457768,0.05000220760298468,0.9509447133037218,513.1913024282561,666,355,16.198261273408498,11623266.5,263.1871348696205,70.3125,39.0625
69,6,1.1050508069336524,2.014092601958712,0.2900133339463884,0.6115731561677845,513.1803218390804,632,390,13.449209313591169,11161158.5,172.93328787337836,62.5,39.0625
70,8,0.9366696033144439,1.1360540978141818,0.6860326682222979,0.14128565191792258,513.1982380952381,669,387,18.747291531120823,10776656.0,335.65027032514115,70.3125,50.78125
71,4,1.649082043882781,2.2581123438977073,1.1020548285984377,0.4216879096691896,513.1463184079602,559,441,6.7032949407582745,10313726.5,45.83051249975343,54.6875,42.96875
72,7,0.9353296264747508,1.7740832902953185,0.3240152119817843,0.41641829939335234,513.1923474178403,699,315,20.916077506203163,10930486.0,449.3844030701071,54.6875,50.78125
73,6,1.223904906719691,2.599151997192818,0.3400198842037545,0.6916360453109255,513.1270175438597,598,440,10.641186996552529,8773958.0,115.74302144200806,70.3125,39.0625
74,7,1.2050590715231133,1.6520809843619766,0.893043776655718,0.24564242564202987,513.1602450980392,648,343,17.46203888154849,10467955.5,287.93590304073945,74.21875,58.59375
75,6,0.7798724246829415,1.0390520828111685,0.417020903303424,0.2071821468738149,513.2315789473685,695,394,16.291092797122882,10238457.5,289.500103441294,66.40625,54.6875
76,5,1.239863097358644,1.7160873326886872,0.33901725278639994,0.4863420951846571,513.1500254452926,622,359,15.290376366005866,10082884.0,235.63475231979626,70.3125,42.96875
77,7,1.0890529952795756,1.4260693951043848,0.41902039028663207,0.31130830417848154,513.1787347931873,609,395,11.10382434963616,10545310.5,123.48979814773399,58.59375,50.78125
78,7,0.9560479222016138,1.3580680735876474,0.6800340869216512,0.20241003293573281,513.1638596491229,645,421,12.007786410348173,10237105.0,139.95749859602932,70.3125,74.21875
79,7,1.065910571958494,1.6280816081006568,0.4790240112286348,0.31603909050942947,513.1731328320802,729,325,21.35789782395604,10237294.0,462.0319563091868,66.40625,62.5
80,6,0.8865419168755023,1.360064305640929,0.13500638328053371,0.3827001863047038,513.1978723404255,647,389,14.966261354279544,10853622.0,229.55191609580925,74.21875,62.5
81,7,0.9088980842122873,1.085048876075497,0.6550295058335962,0.15809157296815485,513.165,632,361,13.089350951568733,11391748.5,168.5629779962616,82.03125,82.03125
82,6,0.7482085831138999,0.9330522718359564,0.4420247632920612,0.17386352620282236,513.167731092437,686,308,16.310447259656666,9159531.0,281.1369188862391,74.21875,74.21875
83,4,1.2930624667858344,1.5450746412870178,1.0000483115126322,0.1980032521425379,513.258309178744,647,419,13.127181338533672,10623930.0,173.63400334084415,54.6875,50.78125
84,7,0.49416397526145833,0.6960297448608914,0.12700542758237532,0.20202944495022807,513.195,1022,0,29.875727802886022,12008252.0,1314.8607055133732,50.78125,39.0625
85,8,0.5699074733603054,1.0470596615191745,0.010000569833038764,0.43471185204105284,513.1718518518519,659,341,17.81935260720421,9005659.5,324.3249132052584,82.03125,50.78125
86,8,0.8670393215111796,1.2420563290852193,0.4010181867658389,0.22240612957605393,513.219954648526,618,401,13.11831943351922,11315987.5,171.11175082564705,62.5,50.78125
87,6,0.9638773459975338,1.1920544317092112,0.8100369879903191,0.13398549043475771,513.1699543378995,600,366,11.872075809064723,11237910.0,146.28479508008445,93.75,74.21875
88,6,1.0983828100364883,1.668075138519752,0.8840398216135874,0.26010571657539167,513.1877927927928,623,343,14.01150764477498,11392255.5,206.0257726666997,85.9375,78.125
89,7,0.7154607993925082,0.8020361277535022,0.599026983197442,0.07977264776844258,513.1496846846846,655,390,12.09763880951325,11391411.0,141.64878642063223,82.03125,70.3125
90,4,0.752042488276174,0.9960562743657846,0.5710322617097012,0.16475304847885316,513.1644632768362,618,400,10.64445493001525,9082497.5,119.05916604552202,74.21875,74.21875
91,6,1.1117228142835494,1.3600686903378953,0.8950452043032477,0.17141720123805948,513.1624242424242,602,422,11.401257337264317,10160101.5,137.31580661452503,74.21875,70.3125
92,8,0.9824265709486062,1.468077064412828,0.68303585490052,0.21936507543294842,513.1516535433071,624,359,14.523343275240258,9775026.5,205.00197691509592,85.9375,85.9375
93,5,0.8778359033089289,1.1000449916151993,0.7110290809440061,0.13044213967884602,513.1421267893661,631,336,13.553829829359271,12545812.0,186.2360185366681,78.125,74.21875
94,6,0.798034546950085,1.4030607385601126,0.27501190527728436,0.3692945627425117,513.1841125541125,723,331,19.870123725159146,11854044.0,406.67456497651943,66.40625,58.59375
95,5,0.6642303301520615,0.9680442029316403,0.34901593680076726,0.2449898797035376,513.1851598173516,706,362,13.653761883046492,11238238.0,186.72113472935138,74.21875,50.78125
96,7,1.195632743071073,1.3800707728601473,0.9810503102723216,0.1598311852902406,513.2209743589743,802,221,32.96566420514718,10007297.0,1124.3205534664103,82.03125,50.78125
97,9,1.1432770556541485,2.201105568612404,0.09200441268166326,0.6692304200503043,513.2847002398081,617,402,13.034192295460272,10701486.5,167.8674865187744,82.03125,50.78125
98,5,1.777889117248985,2.670133841295303,0.10500526342172556,0.9635793889940228,513.2034085213032,590,448,7.501493813542347,10237891.0,55.83593817037418,66.40625,50.78125
99,9,0.8119240371156035,1.0890471448980463,0.06700290055846558,0.33191778321479315,513.2053679653679,752,366,22.267239281305663,11854550.0,488.2468186617286,54.6875,50.78125
100,3,4.13957123972642,9.826564745100292,0.7070406345192239,4.04996973050732,513.197816091954,675,374,34.73484050137316,8929162.5,1226.4591129358098,50.78125,50.78125
101,5,0.9394505080918328,1.171062960374213,0.38502070003763667,0.2816863002075095,513.193870967742,621,393,10.225976045878339,9544895.0,106.54519984865074,85.9375,35.15625
